Время,Индетификатор,Название остановки,Название следующей остановки ,GPS-широта,GPS-долгота,Высота места над уровнем моря,Число пассажиров на остановке,Номер маршрута транспортного средства,Тип транспорта,Степень заполненности транспортного средства,Число вошедших пассажиров,Число вышедших пассажиров,Погода,Температура,Направление ветра,Скорость ветра
1714973799709,Skvarniuk,Технический университет,Богдановича,0.0,0.0,0.0,Человек: 7,23Б,Автобус,Почти или полностью пустой,123,12,"пасмурно, без осадков",+5°,СЗ,2 м/с
1716806460030,Сергей ,Технический университет,Богданчука,0.0,0.0,0.0,8,12А,Автобус,Почти или полностью пустой,123,12,"ясно, без осадков",+18°,СЗ,3 м/с
1716806850398,Сергей ,Технический университет,Богданчука,37.421998333333335,-122.084,5.0,8,12А,Сочлененный автобус,Заняты все сидячие места,12,12,"ясно, без осадков",+18°,СЗ,3 м/с
1716975260247,Сергей ,Рынок Лагуна,Луцкая,37.421998333333335,-122.084,5.0,8,12,Автобус,Заняты все сидячие места,12,12,"ясно, без осадков",+13°,ЮЗ,2 м/с
1716975299120,Сергей ,Рынок Лагуна,Луцкая,37.421998333333335,-122.084,5.0,8,12А,Сочлененный автобус,Занята половина сидячих мест,12,12,"ясно, без осадков",+13°,ЮЗ,2 м/с
1714893176325,Скварнюк ,Технический университет,Богданчука,0.0,0.0,0.0,Человек: 7,12А,Автобус,Почти или полностью пустой,85,12,"ясно, без осадков",+3°,ЗСЗ,2 м/с
1714893202173,Скварнюк ,Технический университет,Богданчука,0.0,0.0,0.0,Человек: 14,36,Микроавтобус,Заняты все сидячие места,7,6,"ясно, без осадков",+3°,ЗСЗ,2 м/с
1714973316249,Скварнюк ,Технический университет,Богданчука,52.09556749,23.75711132,197.454833984375,Человек: 14,12А,Автобус,Почти или полностью пустой,55,12,"пасмурно, без осадков",+5°,СЗ,2 м/с
1714974271035,Скварнюк ,Технический университет,Богданчука,52.0955486,23.75700251,184.4967041015625,Человек: 14,12А,Автобус,Почти или полностью пустой,45,16,"пасмурно, без осадков",+5°,СЗ,2 м/с
1716804989599,Скварнюк ,Технический университет,Богдановича,0.0,0.0,0.0,13,12А,Автобус,Почти или полностью пустой,19,12,"ясно, без осадков",+18°,СЗ,3 м/с
1716805086425,Скварнюк ,Технический университет,Богдановича,52.1087814,23.760367,186.5,13,12,Автобус,Почти или полностью пустой,7,6,"ясно, без осадков",+18°,СЗ,3 м/с
1716805205446,Скварнюк ,Технический университет,Богдановича,52.1087846,23.760351,186.29998779296875,13,13А,Автобус,Почти или полностью пустой,6,9,"ясно, без осадков",+18°,СЗ,3 м/с
1716807135290,Скварнюк ,Технический университет,Богдановича,52.108715,23.7603452,185.79998779296875,13,12А,Автобус,Занята половина сидячих мест,11,12,"ясно, без осадков",+18°,СЗ,3 м/с
1716192322538,Скварнюк,Технический университет,Богданчука,37.421998333333335,-122.084,5.0,Человек: 10,12А,Автобус,Почти или полностью пустой,15,12,"облачно, без осадков",+19°,ВЮВ,3 м/с
1716311844313,Скварнюк,Технический университет,Богданчука,37.421998333333335,-122.084,5.0,10,12А,Сочлененный автобус,Почти или полностью пустой,13,12,"облачно, без осадков",+17°,СЗ,3 м/с
1716805154349,Скварнюк,Технический университет,Богданчука,37.4220936,-122.083922,0.0,10,12А,Автобус,Заняты все сидячие и половина стоячих мест,11,13,"ясно, без осадков",+18°,СЗ,3 м/с
